"Resp_id1","strata","bra10grp","aldergrp","udgrp","loengrp","int_resultat","metode","pervgt","A1","A1a","A3","A4","A5","A7","A8","A9","B1","B2","B3","B4","B5","B6","B7","B8","B9","B10","B11","B12","B13","B14","B15","C1","C2","C3","C4","C5","D1","D2","D3","D4","E3","E3a","E3b","E3c","E4","E4a","E4b","E4c","E1","E1a","E1b","E1c","E2","E2a","E2b","E2c","F1","F1a","F1b","F1c","F2","F2a","F2b","F2c","G1","G1a","G1b","G1c","G2","G2a","G2b","G2c","G3","G3a","G3b","G3c","H1","H2","H3","H4","J1","J2","ISCO_NU","ISCO_DA"
"LS358552",9,"10 Kultur, fritid og anden service",2,2,2,1,2,2604.309041,1,NA,77,NA,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,3,1,5,3,1,2,3,1,1,1,3,3,2,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,2,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,77,2,5419,9999
"LS360631",8,"8 Erhvervsservice",2,2,3,1,2,1249.06286,1,NA,24,NA,1,1,1,1,1,2,2,3,2,3,3,3,2,2,3,4,3,5,4,3,3,3,3,3,1,5,1,3,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,10,3,2512,2512
"LS362459",7,"4 Handel og transport mv.",1,2,1,1,2,4757.371473,2,1,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,2,2,48,3,9999,9999
"LS363211",2,"9 Offentlig administration, undervisning og sundhed",1,3,3,1,2,1152.404081,1,NA,97,NA,1,1,1,2,4,2,2,3,2,2,3,3,2,2,2,3,4,5,5,1,3,3,3,3,3,4,4,3,2,1,3,2,4,3,NA,NA,5,3,NA,NA,3,3,3,3,5,3,NA,NA,5,3,NA,NA,4,3,NA,NA,5,3,NA,NA,4,3,NA,NA,NA,NA,NA,NA,97,3,2310,2310
"LS364159",5,"9 Offentlig administration, undervisning og sundhed",2,2,2,1,2,1579.623216,1,NA,61,NA,1,1,1,1,1,3,2,3,3,2,2,2,2,3,2,3,4,3,4,3,3,3,3,3,2,4,2,3,3,3,2,2,5,3,NA,NA,5,3,NA,NA,2,3,2,2,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,1,3,1,2,1,3,1,2,NA,NA,NA,NA,61,3,3344,3344
"LS364179",4,"8 Erhvervsservice",1,2,2,1,1,1970.893176,1,NA,66,NA,1,1,1,1,2,2,1,4,3,2,4,4,2,2,4,4,4,4,4,3,3,3,3,3,3,5,5,4,2,3,3,2,1,3,3,1,2,3,3,2,1,3,3,2,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,66,1,5153,5153
"LS364360",2,"9 Offentlig administration, undervisning og sundhed",1,2,2,1,2,1528.022207,1,NA,35,NA,1,2,2,2,2,2,2,2,3,2,3,2,4,4,1,3,3,5,5,2,2,1,3,1,2,5,5,4,5,2,NA,NA,5,3,NA,NA,5,3,NA,NA,1,2,3,2,5,3,NA,NA,5,3,NA,NA,5,2,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,44,3,4120,4120
"LS365583",3,"9 Offentlig administration, undervisning og sundhed",3,3,1,1,1,879.8140965,1,NA,1,NA,1,1,1,1,1,1,1,3,1,2,2,4,2,2,2,3,4,5,5,1,2,2,2,2,1,5,1,1,4,2,NA,NA,1,3,3,1,4,2,NA,NA,3,3,3,2,2,1,3,3,4,2,NA,NA,2,1,2,3,5,1,NA,NA,2,1,2,2,NA,NA,NA,NA,1,2,2261,2261
"LS366254",4,"5 Information og kommunikation",2,3,4,1,2,1053.322518,1,NA,98,NA,1,2,1,2,2,2,2,3,2,2,3,3,2,2,2,2,4,5,3,3,3,3,3,3,3,4,3,3,2,3,3,1,4,3,NA,NA,4,3,NA,NA,2,3,3,1,5,3,NA,NA,5,3,NA,NA,2,3,1,1,4,3,NA,NA,1,3,3,1,NA,NA,NA,NA,98,2,5414,5414
"LS366733",5,"9 Offentlig administration, undervisning og sundhed",1,3,2,1,2,3727.793517,1,NA,28,NA,1,1,1,1,1,1,1,3,2,2,4,1,1,1,4,3,4,5,5,1,1,2,1,2,1,5,3,2,2,3,3,2,5,3,NA,NA,4,3,NA,NA,4,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,28,3,2341,2341
"LS366846",8,"4 Handel og transport mv.",2,2,4,1,2,1249.06286,1,NA,48,NA,1,1,1,1,2,3,2,3,2,2,4,5,3,2,5,2,4,5,4,3,3,3,3,3,1,4,4,3,3,3,1,2,4,3,NA,NA,5,3,NA,NA,1,3,1,1,5,3,NA,NA,5,3,NA,NA,2,3,3,2,4,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,48,3,3514,3514
"LS367576",4,"9 Offentlig administration, undervisning og sundhed",1,3,2,1,2,1513.011772,1,NA,38,NA,2,NA,NA,NA,1,1,1,3,1,2,2,1,1,1,1,2,3,5,3,NA,NA,NA,NA,NA,3,5,5,2,1,NA,3,2,5,NA,NA,NA,5,NA,NA,NA,1,NA,3,2,5,NA,NA,NA,5,NA,NA,NA,5,NA,NA,NA,5,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,98,3,2221,9999
"LS367820",5,"4 Handel og transport mv.",2,1,1,1,1,2326.671352,1,NA,90,NA,1,1,1,1,1,1,3,3,3,3,3,3,3,1,3,2,2,2,4,3,3,3,3,3,1,5,2,2,4,3,NA,NA,5,3,NA,NA,4,3,NA,NA,4,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,90,3,9111,9999
"LS368438",8,"8 Erhvervsservice",2,3,4,1,2,998.5319806,1,NA,22,NA,1,1,1,1,1,2,2,3,2,1,4,4,4,4,3,4,3,5,2,3,3,3,3,3,2,5,2,3,4,3,NA,NA,1,3,2,2,4,3,NA,NA,1,3,2,2,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,4,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,34,3,2411,2411
